land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
golfPrinceton_8,40.328815,-74.661537,40.332438188405796,-74.66611575457875,40.3251918115942,-74.65695824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_9,40.328815,-74.640488,40.332438188405796,-74.64506675457876,40.3251918115942,-74.63590924542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_1,40.369027,-74.690723,40.3726501884058,-74.69530175457876,40.365403811594206,-74.68614424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_2,40.369027,-74.669685,40.3726501884058,-74.67426375457876,40.365403811594206,-74.66510624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_3,40.369027,-74.648488,40.3726501884058,-74.65306675457876,40.365403811594206,-74.64390924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_4,40.358217,-74.690723,40.3618401884058,-74.69530175457876,40.354593811594206,-74.68614424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_5,40.358217,-74.669685,40.3618401884058,-74.67426375457876,40.354593811594206,-74.66510624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_6,40.358217,-74.648488,40.3618401884058,-74.65306675457876,40.354593811594206,-74.64390924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_7,40.348952,-74.690723,40.352575188405794,-74.69530175457876,40.3453288115942,-74.68614424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_8,40.348952,-74.669685,40.352575188405794,-74.67426375457876,40.3453288115942,-74.66510624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtLakes1000_9,40.348952,-74.648488,40.352575188405794,-74.65306675457876,40.3453288115942,-74.64390924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_1,40.372664,-74.758727,40.3762871884058,-74.76330575457875,40.3690408115942,-74.75414824542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_2,40.372664,-74.737647,40.3762871884058,-74.74222575457875,40.3690408115942,-74.73306824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_3,40.372664,-74.716469,40.3762871884058,-74.72104775457876,40.3690408115942,-74.71189024542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_4,40.361706,-74.758727,40.365329188405795,-74.76330575457875,40.3580828115942,-74.75414824542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_5,40.361706,-74.737647,40.365329188405795,-74.74222575457875,40.3580828115942,-74.73306824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_6,40.361706,-74.716469,40.365329188405795,-74.72104775457876,40.3580828115942,-74.71189024542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_7,40.352399,-74.758727,40.356022188405795,-74.76330575457875,40.3487758115942,-74.75414824542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_8,40.352399,-74.737647,40.356022188405795,-74.74222575457875,40.3487758115942,-74.73306824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveMtRose_9,40.352399,-74.716469,40.356022188405795,-74.72104775457876,40.3487758115942,-74.71189024542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_1,40.364018,-74.740553,40.3676411884058,-74.74513175457876,40.360394811594205,-74.73597424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_2,40.364018,-74.719621,40.3676411884058,-74.72419975457876,40.360394811594205,-74.71504224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_3,40.364018,-74.698588,40.3676411884058,-74.70316675457876,40.360394811594205,-74.69400924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_4,40.353131,-74.740553,40.356754188405795,-74.74513175457876,40.3495078115942,-74.73597424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
