land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
univSolarFarm_9,40.325165,-74.626075,40.32878819,-74.63065375,40.32154181,-74.62149625,0.072438053,0.19290813,0.025977314,0.258226189,0.327965999,0.045814821,0.076669494,0.057473636,0.104631852,0.032882335,0.183739004,0.263819862,0.272370042,0.085083269
urbanLibrary_1,40.357259,-74.671573,40.36088219,-74.67615175,40.35363581,-74.66699425,0.098335846,0.146084786,0.010291684,0.408214407,0.178455672,0.084550749,0.074066856,0.125825878,0.162260455,0.005548093,0.366642613,0.105553246,0.178548638,0.055621077
urbanLibrary_2,40.357259,-74.660325,40.36088219,-74.66490375,40.35363581,-74.65574625,0.178765429,0,0,0.383067771,0,0.4381668,0,0.132020485,0.022914137,0,0.373323163,0.02461899,0.430181207,0.016942017
urbanLibrary_3,40.357259,-74.648996,40.36088219,-74.65357475,40.35363581,-74.64441725,0.012513203,0.013578645,0,0.639173614,1.75E-05,0.334716996,0,0.048422878,0.006503522,0,0.618944433,0.002701851,0.323427316,0
urbanLibrary_4,40.35151,-74.671573,40.35513319,-74.67615175,40.34788681,-74.66699425,0,0.020660856,0,0.9004696,0,0.078869544,0,0.038102527,0.061693182,0.008801466,0.568358622,0.039954789,0.283089415,0
urbanLibrary_5,40.35151,-74.660325,40.35513319,-74.66490375,40.34788681,-74.65574625,0.09904649,0,0,0.065984413,0,0.834969098,0,0.065829501,0.00124521,0.002052306,0.215779117,0.009800183,0.705293683,0
urbanLibrary_6,40.35151,-74.648996,40.35513319,-74.65357475,40.34788681,-74.64441725,0.031156655,0.008835603,0,0.474417178,0,0.485590564,0,0.070722157,0.009647792,0.003452614,0.378842492,0.011194715,0.52614023,0
urbanLibrary_7,40.34662,-74.671573,40.35024319,-74.67615175,40.34299681,-74.66699425,0.000988609,0.01834971,0.020009527,0.828340481,0,0.132311673,0,0.053628177,0.077580522,0.006389013,0.58118621,0.005099089,0.27611699,0
urbanLibrary_8,40.34662,-74.660325,40.35024319,-74.66490375,40.34299681,-74.65574625,0.002751259,0,0.008109289,0.046824285,0,0.942315166,0,0.128952497,0.029165174,0.006665828,0.156420617,0.003911575,0.674884308,0
urbanLibrary_9,40.34662,-74.648996,40.35024319,-74.65357475,40.34299681,-74.64441725,0.222314812,0.064743637,0.006634326,0.125230304,0.009601707,0.571475214,0,0.157273975,0.064795,0.025653251,0.181736967,0.097877923,0.472662885,0
